time,forest_area_%_of_land_area,urban_population_%_of_total_population,urban_population_growth_annual_%,urban_population,urban_land_area_sq_km,rural_population,rural_population_%_of_total_population,Kenya [KEN] - Rural population growth (annual %) [SP.RUR.TOTL.ZG],population_density_people_per_sq_km_of_land_area,population_growth_annual_%,unemployment_total_%_of_total_labor_force,gdp_growth_annual_%,gdp_current_US$,current_health_expenditure_%_of_gdp,domestic_general_government_health_expenditure_%_of_current_health_expenditure,domestic_general_government_health_expenditure_%_of_gdp,proportion_of_population_pushed_below_the_$2.15_$_2017_PPP_poverty_line_by_out_of_pocket_health_care_expenditure_%
1981,..,15.681,4.25959707508609,2632207,..,14153755,84.319,3.51652655679832,29.4935551885301,3.63268304760596,..,3.77354419402822,6854491453.91471,..,..,..,..
1982,..,15.78,4.28807603555879,2747533,..,14663958,84.22,3.54126864668634,30.5926327441403,3.65874486828768,..,1.50647825757706,6431579357.30273,..,..,..,..
1983,..,15.879,4.33472534361145,2869250,..,15200211,84.121,3.59166629586471,31.7487103348912,3.70928851646282,..,1.3090502411486,5979198463.82274,..,..,..,..
1984,..,15.979,4.34176296519598,2996570,..,15756606,84.021,3.59503965726651,32.9500228414801,3.71398490244611,..,1.75521697703473,6191437070.43467,..,..,..,..
1985,..,16.079,4.28337653248407,3127713,..,16324448,83.921,3.54041555133371,34.1781653020346,3.65950445523804,..,4.30056181879613,6135034338.30431,..,..,..,..
1986,..,16.18,4.20476344128623,3262030,..,16898849,83.82,3.45816516799665,35.4234090030572,3.57858741519746,..,7.17755539065963,7239126716.93219,..,..,..,..
1987,..,16.281,4.13710232750377,3399814,..,17482280,83.719,3.39422834033229,36.6906103946305,3.51480018991794,..,5.93710744420895,7970820530.76691,..,..,..,..
1988,..,16.383,4.12553596109132,3543008,..,18083114,83.617,3.37907781425223,37.9978950697544,3.50098905227389,..,6.20318382314591,8355380879.12955,..,..,..,..
1989,..,16.485,4.08208203760132,3690629,..,18697174,83.515,3.33938147990142,39.336196717855,3.46143657685424,..,4.69034876792047,8283114648.38116,..,..,..,..
1990,6.77959728713498,16.748,4.98364249160108,3879217,1418.43057029915,19283052,83.252,3.08541859640023,40.696962083143,3.40083169114175,..,4.19205097155167,8572359162.86876,..,..,..,..
1991,6.79763327125136,17.043,4.95772371019549,4076385,..,19841850,82.957,2.85667680676732,42.025222265172,3.21165201895544,..,1.43834679171559,8151488881.9683,..,..,..,..
1992,6.81566925536775,17.342,4.77594837634397,4275795,..,20379928,82.658,2.67571514356365,43.3210159187546,3.03679051921495,..,-0.799493958641349,8209120678.11342,..,..,..,..
1993,6.83370523948413,17.645,4.67395998078956,4480388,..,20911442,82.355,2.57459783688215,44.6143831043329,2.94184248128658,..,0.353197256227247,5751786609.50323,..,..,..,..
